wa,District,Ward,Longitude,Latitude,Station
85,Akabane,Kita,139.7207999,35.7781394,Y
4,Akihabara,Chiyoda,139.7712503,35.6997364,
60,Aobadai,Meguro,139.6943,35.6509,
49,Aomi,Koto,139.7812023,35.6247789,
101,Aoto,Katsushika,139.8561732,35.7456971,
23,Aoyama,Minato,139.723,35.672,
88,Arakawa,Arakawa,139.78131,35.737529,
40,Ariake,Koto,139.7932562,35.6345562,
79,Asagaya,Suginami,139.6354724,35.7048403,
35,Asakusa,Taito,139.797635,35.717528,
97,Ayase,Adachi,139.8266,35.7676,Y
24,Azabu,Minato,139.7339705,35.6564018,
73,Daikanyama,Shibuya,139.7032482,35.6481642,
64,Den-en-chofu,Ota,139.6682,35.5939,
71,Ebisu,Shibuya,139.7102101,35.6464378,
47,Etchujima,Koto,139.7926376,35.6679,
44,Fukagawa,Koto,139.7978,35.6763,
10,Ginza,Chuo,139.7643056,35.66951555,
51,Gotanda,Shinagawa,139.7237494,35.6261042,
33,Hakusan,Bunkyo,139.7486,35.7191,
19,Hamamatsucho,Minato,139.7570622,35.6551111,
63,Haneda,Ota,139.7466458,35.5479444,
72,Harajuku,Shibuya,139.7053357,35.6687049,
53,Hatanodai,Shinagawa,139.7027094,35.6048391,
12,Hatchobori,Chuo,139.7776367,35.6746453,
96,Hikarigaoka,Nerima,139.629415,35.7585088,
74,Hiroo,Shibuya,139.7179,35.6518,
31,Hongo,Bunkyo,139.7601,35.7088,
29,Ichigaya,Shinjuku,139.735504,35.6913187,
6,Iidabashi,Chiyoda,139.7456774,35.7031684,
81,Ikebukuro,Toshima,139.7107453,35.7304418,
92,Itabashi,Itabashi,139.681209,35.774143,
58,Jiyugeoka,Meguro,139.6687,35.6073,
15,Kachidoki,Chuo,139.777168,35.6590031,
28,Kagurazaka,Shinjuku,139.7341347,35.7039298,
62,Kamata,Ota,139.7146628,35.5618856,
102,Kameari,Katsushika,139.8478007,35.7666652,
41,Kameido,Koto,139.827138,35.6976987,
7,Kanda,Chiyoda,139.7709,35.6918,
68,Karasuyama,Setagaya,139.5968,35.6753,
104,Kasai,Edogawa,139.8723,35.6637,
1,Kasumigaseki,Chiyoda,139.7509719,35.6740542,
9,Kayabacho,Chuo,139.7796972,35.6792576,
39,Kiba,Koto,139.8061,35.6722,
36,Kinshicho,Sumida,139.8150431,35.6963122,
67,Kinuta,Setagaya,139.6121,35.6401,
98,Kitasenju,Adachi,139.804177,35.754036,Y
45,Kiyosumi,Koto,139.7972,35.6812,
78,Koenji,Suginami,139.649909,35.7049419,
105,Koiwa,Edogawa,139.881843,35.7332364,
59,Komaba,Meguro,139.6822,35.6603,
82,Komagome,Toshima,139.7472412,35.7365848,
89,Machiya,Arakawa,139.7806071,35.7427407,
3,Marunouchi,Chiyoda,139.7652217,35.6806555,
56,Meguro,Meguro,139.688014,35.62125,Y
91,Minamisenju,Arakawa,139.7966766,35.7366615,
20,Mita,Minato,139.7409,35.6472,
43,Monzennakacho,Koto,139.7948404,35.6724719,
37,Morishita,Sumida,139.7982399,35.6880305,
0,Nagatacho,Chiyoda,139.7434685,35.675618,
57,Nakameguro,Meguro,139.6987133,35.6442023,Y
77,Nakano,Nakano,139.664468,35.718123,Y
94,Nerima,Nerima,139.638735,35.74836,
8,Nihonbashi,Chuo,139.7745029,35.68406775,
90,Nippori,Arakawa,139.7713635,35.7289204,
17,Odaiba,Minato,139.779364,35.6190502,
80,Ogikubo,Suginami,139.6201587,35.7044803,
54,Oimachi,Shinagawa,139.733944,35.6076094,
95,Oizumi,Nerima,139.599,35.7589,
86,Oji,Kita,139.7382749,35.7523466,
27,Okubo,Shinjuku,139.6973187,35.7007911,
61,Omori,Ota,139.7279334,35.5884735,
52,Osaki,Shinagawa,139.7256,35.6204,
2,Otemachi,Chiyoda,139.7636157,35.686757,
21,Roppongi,Minato,139.7334981,35.6624568,
38,Ryogoku,Sumida,139.7929596,35.6957996,
75,Sendagaya,Shibuya,139.7113311,35.6812658,
83,Senkawa,Toshima,139.689414,35.7382095,
65,Setagaya,Setagaya,139.65627,35.646096,
103,Shibamata,Katsushika,139.8752024,35.7564295,
70,Shibuya,Shibuya,139.6987107,35.6645956,Y
66,Shimokitazawa,Setagaya,139.6663345,35.6616779,
50,Shinagawa,Shinagawa,139.73891,35.599252,
18,Shinbashi,Minato,139.7558355,35.6651764,
25,Shinjuku,Shinjuku,139.7036319,35.6937632,
13,Shinkawa,Chuo,139.5388,35.7601,
46,Shirakawa,Koto,139.8042,35.6823,
84,Sugamo,Toshima,139.7394273,35.7334119,
48,Sunamachi,Koto,139.8313,35.6797,
87,Tabata,Kita,139.7617151,35.7373701,
26,Takadanobaba,Shinjuku,139.7036425,35.7126839,
93,Takashimadaira,Itabashi,139.6589375,35.7883692,
99,Takenotsuka,Adachi,139.7907116,35.7945322,
69,Tamagawa,Setagaya,139.6261,35.6125,
100,Tateishi,Katsushika,139.8483,35.7407,
55,Tennozu,Shinagawa,139.7507719,35.6205526,
22,Toranomon,Minato,139.750049,35.67017,
42,Toyocho,Koto,139.8174761,35.6695961,
11,Tsukiji,Chuo,139.772563,35.6680853,
14,Tsukishima,Chuo,139.7847168,35.6645143,
16,Tsukuda,Chuo,139.7844,35.6692,
34,Ueno,Taito,139.7776445,35.7117587,
32,Yayoi,Bunkyo,139.762,35.7171,
30,Yotsuya,Shinjuku,139.7288,35.6854,
76,Yoyogi,Shibuya,139.7020805,35.6839519,Y
5,Yurakucho,Chiyoda,139.7616737,35.6744233,
