District,Ward,Longitude,Latitude,Color
Akabane,Kita,139.7207999,35.7781394,blue
Akihabara,Chiyoda,139.7712503,35.6997364,blue
Aobadai,Meguro,139.6943,35.6509,blue
Aomi,Koto,139.7812023,35.6247789,blue
Aoto,Katsushika,139.8561732,35.7456971,blue
Aoyama,Minato,139.723,35.672,blue
Arakawa,Arakawa,139.78131,35.737529,blue
Ariake,Koto,139.7932562,35.6345562,red
Asagaya,Suginami,139.6354724,35.7048403,blue
Asakusa,Taito,139.797635,35.717528,blue
Ayase,Adachi,139.8266,35.7676,blue
Azabu,Minato,139.7339705,35.6564018,blue
Daikanyama,Shibuya,139.7032482,35.6481642,blue
Den-en-chofu,Ota,139.6682,35.5939,blue
Ebisu,Shibuya,139.7102101,35.6464378,blue
Etchujima,Koto,139.7926376,35.6679,blue
Fukagawa,Koto,139.7978,35.6763,blue
Ginza,Chuo,139.7643056,35.66951555,blue
Gotanda,Shinagawa,139.7237494,35.6261042,blue
Hakusan,Bunkyo,139.7486,35.7191,blue
Hamamatsucho,Minato,139.7570622,35.6551111,blue
Haneda,Ota,139.7466458,35.5479444,blue
Harajuku,Shibuya,139.7053357,35.6687049,blue
Hatanodai,Shinagawa,139.7027094,35.6048391,blue
Hatchobori,Chuo,139.7776367,35.6746453,blue
Hikarigaoka,Nerima,139.629415,35.7585088,blue
Hiroo,Shibuya,139.7179,35.6518,blue
Hongo,Bunkyo,139.7601,35.7088,blue
Ichigaya,Shinjuku,139.735504,35.6913187,blue
Iidabashi,Chiyoda,139.7456774,35.7031684,blue
Ikebukuro,Toshima,139.7107453,35.7304418,blue
Itabashi,Itabashi,139.681209,35.774143,blue
Jiyugeoka,Meguro,139.6687,35.6073,blue
Kachidoki,Chuo,139.777168,35.6590031,blue
Kagurazaka,Shinjuku,139.7341347,35.7039298,blue
Kamata,Ota,139.7146628,35.5618856,blue
Kameari,Katsushika,139.8478007,35.7666652,blue
Kameido,Koto,139.827138,35.6976987,blue
Kanda,Chiyoda,139.7709,35.6918,blue
Karasuyama,Setagaya,139.5968,35.6753,blue
Kasai,Edogawa,139.8723,35.6637,blue
Kasumigaseki,Chiyoda,139.7509719,35.6740542,blue
Kayabacho,Chuo,139.7796972,35.6792576,blue
Kiba,Koto,139.8061,35.6722,blue
Kinshicho,Sumida,139.8150431,35.6963122,blue
Kinuta,Setagaya,139.6121,35.6401,blue
Kitasenju,Adachi,139.804177,35.754036,blue
Kiyosumi,Koto,139.7972,35.6812,blue
Koenji,Suginami,139.649909,35.7049419,blue
Koiwa,Edogawa,139.881843,35.7332364,blue
Komaba,Meguro,139.6822,35.6603,blue
Komagome,Toshima,139.7472412,35.7365848,blue
Machiya,Arakawa,139.7806071,35.7427407,blue
Marunouchi,Chiyoda,139.7652217,35.6806555,blue
Meguro,Meguro,139.688014,35.62125,blue
Minamisenju,Arakawa,139.7966766,35.7366615,blue
Mita,Minato,139.7409,35.6472,blue
Monzennakacho,Koto,139.7948404,35.6724719,blue
Morishita,Sumida,139.7982399,35.6880305,blue
Nagatacho,Chiyoda,139.7434685,35.675618,blue
Nakameguro,Meguro,139.6987133,35.6442023,blue
Nakano,Nakano,139.664468,35.718123,blue
Nerima,Nerima,139.638735,35.74836,blue
Nihonbashi,Chuo,139.7745029,35.68406775,blue
Nippori,Arakawa,139.7713635,35.7289204,blue
Odaiba,Minato,139.779364,35.6190502,blue
Ogikubo,Suginami,139.6201587,35.7044803,blue
Oimachi,Shinagawa,139.733944,35.6076094,blue
Oizumi,Nerima,139.599,35.7589,blue
Oji,Kita,139.7382749,35.7523466,blue
Okubo,Shinjuku,139.6973187,35.7007911,blue
Omori,Ota,139.7279334,35.5884735,blue
Osaki,Shinagawa,139.7256,35.6204,blue
Otemachi,Chiyoda,139.7636157,35.686757,blue
Roppongi,Minato,139.7334981,35.6624568,blue
Ryogoku,Sumida,139.7929596,35.6957996,blue
Sendagaya,Shibuya,139.7113311,35.6812658,blue
Senkawa,Toshima,139.689414,35.7382095,blue
Setagaya,Setagaya,139.65627,35.646096,blue
Shibamata,Katsushika,139.8752024,35.7564295,blue
Shibuya,Shibuya,139.6987107,35.6645956,blue
Shimokitazawa,Setagaya,139.6663345,35.6616779,blue
Shinagawa,Shinagawa,139.73891,35.599252,blue
Shinbashi,Minato,139.7558355,35.6651764,blue
Shinjuku,Shinjuku,139.7036319,35.6937632,blue
Shinkawa,Chuo,139.5388,35.7601,blue
Shirakawa,Koto,139.8042,35.6823,blue
Sugamo,Toshima,139.7394273,35.7334119,blue
Sunamachi,Koto,139.8313,35.6797,blue
Tabata,Kita,139.7617151,35.7373701,blue
Takadanobaba,Shinjuku,139.7036425,35.7126839,blue
Takashimadaira,Itabashi,139.6589375,35.7883692,blue
Takenotsuka,Adachi,139.7907116,35.7945322,blue
Tamagawa,Setagaya,139.6261,35.6125,blue
Tateishi,Katsushika,139.8483,35.7407,blue
Tennozu,Shinagawa,139.7507719,35.6205526,blue
Toranomon,Minato,139.750049,35.67017,blue
Toyocho,Koto,139.8174761,35.6695961,blue
Tsukiji,Chuo,139.772563,35.6680853,blue
Tsukishima,Chuo,139.7847168,35.6645143,blue
Tsukuda,Chuo,139.7844,35.6692,blue
Ueno,Taito,139.7776445,35.7117587,blue
Yayoi,Bunkyo,139.762,35.7171,blue
Yotsuya,Shinjuku,139.7288,35.6854,blue
Yoyogi,Shibuya,139.7020805,35.6839519,blue
Yurakucho,Chiyoda,139.7616737,35.6744233,blue
