wa,District,Ward,Longitude,Latitude,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Clusters
85,Akabane,Kita,139.7207999,35.7781394,Sake Bar,Dumpling Restaurant,Tea Room,Clothing Store,Soba Restaurant,Coffee Shop,Shopping Mall,Bakery,Ramen Restaurant,Electronics Store,0
4,Akihabara,Chiyoda,139.7712503,35.6997364,Café,Electronics Store,Sake Bar,Arcade,Ramen Restaurant,Comic Shop,Hobby Shop,Fishing Spot,Fried Chicken Joint,French Restaurant,0
60,Aobadai,Meguro,139.6943,35.6509,Park,Diner,Gift Shop,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Flower Shop,Fishing Spot,Yoshoku Restaurant,1
49,Aomi,Koto,139.78120230000002,35.624778899999995,Coffee Shop,Shopping Mall,Fast Food Restaurant,Playground,Plaza,Farmers Market,French Restaurant,Food Truck,Flower Shop,Fishing Spot,0
101,Aoto,Katsushika,139.85617319999997,35.7456971,Convenience Store,Sake Bar,Chinese Restaurant,Fried Chicken Joint,Udon Restaurant,Donburi Restaurant,Italian Restaurant,Sandwich Place,Donut Shop,Drugstore,3
23,Aoyama,Minato,139.72299999999998,35.672,Japanese Curry Restaurant,Convenience Store,French Restaurant,Ramen Restaurant,Sushi Restaurant,Rock Club,Wine Shop,Donut Shop,Drugstore,Donburi Restaurant,0
88,Arakawa,Arakawa,139.78131000000002,35.737528999999995,Convenience Store,Yoshoku Restaurant,Fast Food Restaurant,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Flower Shop,Fishing Spot,Farmers Market,3
40,Ariake,Koto,139.7932562,35.634556200000006,Hotel,Intersection,Light Rail Station,Convenience Store,Farmers Market,Fried Chicken Joint,French Restaurant,Food Truck,Flower Shop,Fishing Spot,3
79,Asagaya,Suginami,139.63547240000003,35.7048403,Sake Bar,Japanese Restaurant,Movie Theater,Chinese Restaurant,Bubble Tea Shop,Thai Restaurant,Takoyaki Place,Diner,Fried Chicken Joint,Discount Store,0
35,Asakusa,Taito,139.797635,35.717528,Yoshoku Restaurant,Pastry Shop,Bakery,Japanese Restaurant,Whisky Bar,Farmers Market,Fried Chicken Joint,French Restaurant,Food Truck,Flower Shop,0
24,Azabu,Minato,139.7339705,35.6564018,Japanese Restaurant,Bakery,Seafood Restaurant,Cocktail Bar,Chinese Restaurant,Thai Restaurant,Sake Bar,Ice Cream Shop,Wagashi Place,Hotpot Restaurant,0
73,Daikanyama,Shibuya,139.7032482,35.648164200000004,Cosmetics Shop,Burger Joint,Food Truck,Bubble Tea Shop,Café,Boutique,Vegetarian / Vegan Restaurant,Gym Pool,Bar,Gift Shop,0
64,Den-en-chofu,Ota,139.6682,35.5939,Park,Tennis Court,Yoshoku Restaurant,Fishing Spot,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Flower Shop,Fast Food Restaurant,1
71,Ebisu,Shibuya,139.7102101,35.646437799999994,Dim Sum Restaurant,Japanese Restaurant,Bakery,Deli / Bodega,Coffee Shop,Sushi Restaurant,Bistro,Sake Bar,Wine Bar,Hotel Bar,0
47,Etchujima,Koto,139.7926376,35.6679,Bus Stop,Platform,Train Station,Yoshoku Restaurant,Fishing Spot,Fried Chicken Joint,French Restaurant,Food Truck,Flower Shop,Fast Food Restaurant,0
